concept_id,concept_name,industry,problem_area,target_user,delivery_complexity,strategic_fit,n_demos,n_trials,avg_feedback_score,follow_up_rate,decision_maker_rate,avg_objections,demand_intensity,engagement_depth,feasibility_risk,revenue_potential,avg_trial_sessions,avg_time_spent,avg_repeat_usage_days,avg_feature_clicks,avg_active_users,avg_abandoned_features,avg_willingness_to_pay,avg_pilot_interest,avg_implementation_risk,segments_reached,repeatability,segment_similarity,confidence,engagement_depth_norm,avg_feature_clicks_norm,avg_trial_sessions_norm,avg_objection_count_text,capability_request_rate,positive_comment_ratio
CONCEPT-001,Smart Workflow Copilot,Financial Services,Supply Chain Optimization,Operations Manager,3,0.447,25,2,1.224,0.04,0.36,3.76,0.135632,1.52,0.45466600000000007,0.171552,0.16,0.76,0.0,1.28,0.08,0.0,0.23588,0.06724000000000001,0.52148,5,0.016399999999999998,0.8987074818201802,0.7919999999999999,0.018718187291336,0.04042105263157895,0.035229357798165134,2.1818,1.0,0.0
CONCEPT-002,Auto-Forecast for Energy,Energy & Utilities,Revenue Forecasting,Operations Manager,2,0.621,23,8,2.904347826086956,0.391304347826087,0.5652173913043478,1.9130434782608696,0.4308347826086957,33.46840579710145,0.2404413043478261,0.40781304347826086,1.608695652173913,22.991304347826084,1.7826086956521738,12.521739130434783,0.782608695652174,1.1304347826086956,0.5065217391304347,0.35278260869565214,0.2898695652173913,5,0.20268115942028983,0.8699313673693124,0.9168000000000001,0.41214992635038183,0.3954233409610984,0.3542082169924212,1.65,0.9,0.0
CONCEPT-003,Smart Contract Copilot,Public Sector,Customer Service Automation,CIO / CTO,2,0.708,15,5,2.58,0.4666666666666667,0.6666666666666666,3.2,0.41753666666666667,27.03677777777778,0.23576,0.38538666666666666,1.8,17.06,1.6666666666666667,13.866666666666667,0.8666666666666667,1.0666666666666667,0.4736,0.3688666666666667,0.2794666666666667,5,0.22922222222222222,0.9859247693054574,0.6906666666666668,0.3329470198675497,0.4378947368421053,0.39633027522935776,1.8571,0.9286,0.0
CONCEPT-004,Predictive Contract Assistant,Retail,Workforce Productivity,CIO / CTO,4,0.649,24,15,3.0583333333333336,0.7083333333333334,0.6666666666666666,1.7083333333333333,0.5411520833333333,67.12135416666666,0.5805375,0.4692083333333334,4.541666666666667,28.008854166666666,3.2083333333333335,27.416666666666668,1.5833333333333333,2.1666666666666665,0.564625,0.423875,0.55675,5,0.39090277777777777,0.9764415016869784,0.95625,0.8265724200919491,0.8657894736842106,1.0,1.3,0.95,0.2
CONCEPT-005,Automated Invoice Assistant,Manufacturing,Predictive Maintenance,Customer Success Director,3,0.622,28,10,2.2821428571428575,0.32142857142857145,0.5,2.4642857142857144,0.34952857142857147,63.98357142857143,0.4141107142857143,0.32455357142857144,1.75,21.364285714285717,1.6785714285714286,11.357142857142858,1.0714285714285714,0.75,0.39325,0.27325,0.43135714285714283,5,0.17791666666666667,0.9461403130145898,0.9875,0.7879318905056414,0.3586466165413534,0.38532110091743116,1.5909,0.9091,0.0455
CONCEPT-006,Predictive Forecast Assistant,Telecommunications,Supply Chain Optimization,Business Analyst,3,0.631,14,5,2.6571428571428575,0.35714285714285715,0.5,2.5714285714285716,0.40124642857142856,36.94523809523809,0.4108964285714286,0.3842928571428571,2.142857142857143,18.192857142857143,1.0714285714285714,12.428571428571429,1.8571428571428572,1.0714285714285714,0.46014285714285713,0.34685714285714286,0.4242142857142857,4,0.18214285714285713,0.8891641739803158,0.6734,0.45496571459846596,0.39248120300751876,0.4718217562254259,1.7273,0.8182,0.0909
CONCEPT-007,Predictive Workflow Assistant,Financial Services,Customer Service Automation,Business Analyst,3,0.649,33,9,2.7484848484848485,0.36363636363636365,0.5151515151515151,1.9393939393939394,0.4095636363636364,16.785858585858588,0.42301818181818185,0.3653636363636364,1.0,9.148484848484848,1.0909090909090908,10.151515151515152,0.6666666666666666,0.6363636363636364,0.44781818181818184,0.3524242424242425,0.45115151515151514,5,0.16772727272727272,0.9588594274610809,0.9681818181818183,0.20671108214209308,0.32057416267942584,0.2201834862385321,1.4,0.9333,0.1
CONCEPT-008,Smart Insight Copilot,Financial Services,Customer Service Automation,CIO / CTO,2,0.463,15,4,2.1933333333333334,0.3333333333333333,0.2,2.6,0.34598999999999996,19.292666666666666,0.24448999999999999,0.28853333333333336,1.0,9.96,0.8,8.2,0.4666666666666667,0.8,0.3628,0.23600000000000002,0.29886666666666667,5,0.15033333333333332,0.8710776871525525,0.6413333333333333,0.23758141316840897,0.2589473684210526,0.2201834862385321,2.1429,0.9286,0.0
CONCEPT-009,Auto-Document for Telecommunications,Telecommunications,Document Intelligence,Customer Success Director,3,0.499,20,1,1.375,0.05,0.35,3.5,0.161995,1.135,0.45078250000000003,0.23006000000000001,0.1,1.135,0.2,1.45,0.05,0.1,0.316,0.10395000000000001,0.51285,5,0.023666666666666666,0.8792029643153433,0.6705,0.013977067483991025,0.045789473684210526,0.022018348623853212,2.5,1.0,0.0
CONCEPT-010,Adaptive Invoice Assistant,Energy & Utilities,Customer Service Automation,Customer Success Director,3,0.641,17,6,2.676470588235294,0.5294117647058824,0.47058823529411764,2.7058823529411766,0.41503529411764706,15.640588235294118,0.4126,0.3400117647058824,1.8235294117647058,9.488235294117647,0.35294117647058826,14.0,1.1764705882352942,1.0588235294117647,0.4242941176470588,0.27464705882352947,0.428,4,0.22088235294117645,0.9046415367632925,0.7712,0.19260753943085637,0.4421052631578947,0.40151106314085266,1.6429,0.8571,0.0
